id;Sex;Rep.;Ex1;Ex2a;Ex2b;Ex2c;Ex2d;Ex2e;Ex2;Ex3a;Ex3b;Ex3c;Ex3d;Ex3;Total;Grade;Failed
95;2;;6.5;2;1;2;1;1;7;3;1.5;1.5;1;7;20.5;6; 
#NV;1;Rep.;6;2;1;1;0.25;0.5;4.75;2.5;0.5;0;0.25;3.25;14;4.5; 
#NV;2;Rep.;5.5;2;1;0.5;0.25;0.25;4;2;0.5;0;0;2.5;12;4; 
165;2;;5.5;2;1;2;0.75;0.75;6.5;2.5;1.5;1.25;0.5;5.75;17.75;5.25; 
84;2;;6;2;1;1;0.75;1;5.75;2.5;1;1.25;0.5;5.25;17;5; 
435;1;;5.5;2;0.75;1.75;0.5;0.5;5.5;2.5;1.25;1.25;0.25;5.25;16.25;4.75; 
#NV;2;Rep.;5;2;1;1.25;1;0;5.25;2;1.25;1;0.25;4.5;14.75;4.5; 
66;2;;7;2;1;2;1;1;7;3;1.5;1.25;0.5;6.25;20.25;5.75; 
#NV;2;;4.5;0.75;0;1.5;1;0;3.25;2;0.25;0.5;0;2.75;10.5;3.75;ja
200;1;;5.5;2;1;0.5;0.25;0.25;4;3;0.25;1.25;0.75;5.25;14.75;4.5; 
352;1;Rep.;5.5;2;1;0.75;1;0.75;5.5;3;1;1.5;0.75;6.25;17.25;5; 
450;2;;6.5;2;1;2;0.5;0.5;6;2.5;1.5;1.5;0;5.5;18;5.25; 
356;2;;6.5;2;1;2;1;1;7;2.5;1.25;1.5;0.5;5.75;19.25;5.5; 
389;1;;6.5;2;1;2;1;0.5;6.5;2.5;1.5;1.5;0.75;6.25;19.25;5.5; 
409;1;;5.5;2;1;0.5;0.5;0;4;3;1;1.25;0.75;6;15.5;4.75; 
470;1;;6.5;2;1;1.25;0.75;0.75;5.75;1;1.5;1.5;0.75;4.75;17;5; 
420;1;;6.5;2;1;1;1;1;6;3;1;1.5;0.5;6;18.5;5.25; 
