id;time;role1;role2;role3;role4;role5;role6;role7;role8;role9
335;sep2016;9;2;5;6;3;8;11;13;13
274;sep2016;8;15;0;4;3;2;35;0;3
124;sep2016;16;0;11;0;4;13;6;5;15
158;sep2016;9;7;4;10;8;9;11;5;7
276;sep2016;11;7;6;8;10;8;11;6;3
118;sep2016;16;4;3;3;2;1;9;22;10
429;sep2016;9;2;4;7;11;8;15;8;6
31;sep2016;5;12;8;0;6;0;9;13;17
78;sep2016;17;1;2;14;1;5;15;11;4
435;sep2016;2;2;16;33;7;3;2;3;2
498;sep2016;18;0;20;0;0;0;13;15;4
307;sep2016;5;2;6;18;17;3;16;1;2
137;sep2016;17;3;8;8;7;15;7;1;4
265;sep2016;13;0;5;10;3;14;3;12;10
62;sep2016;13;0;13;8;13;3;10;5;5
227;sep2016;14;0;2;1;9;6;23;7;8
408;sep2016;11;2;10;5;3;5;7;17;10
184;sep2016;15;14;5;3;12;14;6;0;1
115;sep2016;10;5;6;13;9;5;13;4;5
447;sep2016;13;0;13;8;13;3;10;5;5
152;sep2016;11;3;9;2;19;8;14;2;2
