id;grp
1;
2;Gruppe 5 (PV 2) LEE D101
3;Gruppe 1 (PV2) ML D28
4;
5;Gruppe 1 (PV2) ML D28
6;Gruppe 3 (PV 2) LEE D105
7;Gruppe 1 (PV2) ML D28
8;Gruppe 1 (PV2) ML D28
9;
10;
11;Gruppe 5 (PV 2) LEE D101
12;
13;Gruppe 5 (PV 2) LEE D101
14;Gruppe 1 (PV2) ML D28
15;
16;
17;
18;Gruppe 1 (PV2) ML D28
19;
20;Gruppe 2 (PV 2) HG E41
21;Gruppe 1 (PV2) ML D28
22;
23;Gruppe 1 (PV2) ML D28
24;
25;Gruppe 2 (PV 2) HG E41
26;Gruppe 1 (PV2) ML D28
27;Gruppe 3 (PV 2) LEE D105
28;
29;
30;Gruppe 1 (PV2) ML D28
31;Gruppe 3 (PV 2) LEE D105
32;Gruppe 2 (PV 2) HG E41
33;
34;Gruppe 5 (PV 2) LEE D101
35;Gruppe 1 (PV2) ML D28
36;Gruppe 1 (PV2) ML D28
37;Gruppe 5 (PV 2) LEE D101
38;Gruppe 1 (PV2) ML D28
39;Gruppe 1 (PV2) ML D28
40;Gruppe 2 (PV 2) HG E41
41;Gruppe 1 (PV2) ML D28
42;Gruppe 2 (PV 2) HG E41
43;
44;
45;Gruppe 2 (PV 2) HG E41
46;
47;
48;
49;Gruppe 1 (PV2) ML D28
50;Gruppe 5 (PV 2) LEE D101
51;
52;
53;
54;
55;Gruppe 6 - AL (PV 2) LEE C104
56;
57;Gruppe 2 (PV 2) HG E41
58;
59;Gruppe 1 (PV2) ML D28
60;Gruppe 1 (PV2) ML D28
61;Gruppe 1 (PV2) ML D28
62;Gruppe 5 (PV 2) LEE D101
63;Gruppe 5 (PV 2) LEE D101
64;
65;
66;Gruppe 2 (PV 2) HG E41
67;Gruppe 1 (PV2) ML D28
68;
69;Gruppe 4 (PV 2) LEE C114
70;Gruppe 1 (PV2) ML D28
71;
72;Gruppe 1 (PV2) ML D28
73;
74;Gruppe 1 (PV2) ML D28
75;
76;Gruppe 6 - AL (PV 2) LEE C104
77;Gruppe 1 (PV2) ML D28
78;
79;Gruppe 3 (PV 2) LEE D105
80;Gruppe 1 (PV2) ML D28
81;Gruppe 1 (PV2) ML D28
82;Gruppe 3 (PV 2) LEE D105
83;Gruppe 4 (PV 2) LEE C114
84;Gruppe 1 (PV2) ML D28
85;
86;Gruppe 6 - AL (PV 2) LEE C104
87;
88;Gruppe 5 (PV 2) LEE D101
89;
90;Gruppe 3 (PV 2) LEE D105
91;Gruppe 4 (PV 2) LEE C114
92;
93;Gruppe 2 (PV 2) HG E41
94;Gruppe 3 (PV 2) LEE D105
95;Gruppe 2 (PV 2) HG E41
96;
97;
98;
99;Gruppe 2 (PV 2) HG E41
100;Gruppe 2 (PV 2) HG E41
101;Gruppe 1 (PV2) ML D28
102;Gruppe 1 (PV2) ML D28
103;
104;Gruppe 5 (PV 2) LEE D101
105;Gruppe 1 (PV2) ML D28
106;
107;
108;Gruppe 1 (PV2) ML D28
109;
110;Gruppe 1 (PV2) ML D28
111;
112;
113;
114;
115;Gruppe 5 (PV 2) LEE D101
116;
117;
118;Gruppe 1 (PV2) ML D28
119;Gruppe 3 (PV 2) LEE D105
120;
121;
122;Gruppe 1 (PV2) ML D28
123;
124;Gruppe 1 (PV2) ML D28
125;
126;Gruppe 1 (PV2) ML D28
127;
128;
129;Gruppe 1 (PV2) ML D28
130;Gruppe 3 (PV 2) LEE D105
131;
132;Gruppe 6 - AL (PV 2) LEE C104
133;
134;Gruppe 5 (PV 2) LEE D101
135;Gruppe 1 (PV2) ML D28
136;Gruppe 6 - AL (PV 2) LEE C104
137;Gruppe 3 (PV 2) LEE D105
138;Gruppe 1 (PV2) ML D28
139;Gruppe 2 (PV 2) HG E41
140;Gruppe 5 (PV 2) LEE D101
141;
142;
143;
144;
145;Gruppe 1 (PV2) ML D28
146;Gruppe 3 (PV 2) LEE D105
147;Gruppe 1 (PV2) ML D28
148;Gruppe 1 (PV2) ML D28
149;Gruppe 1 (PV2) ML D28
150;Gruppe 5 (PV 2) LEE D101
151;Gruppe 3 (PV 2) LEE D105
152;Gruppe 2 (PV 2) HG E41
153;
154;Gruppe 1 (PV2) ML D28
155;
156;Gruppe 6 - AL (PV 2) LEE C104
157;Gruppe 1 (PV2) ML D28
158;
159;Gruppe 6 - AL (PV 2) LEE C104
160;
161;Gruppe 3 (PV 2) LEE D105
162;
163;Gruppe 1 (PV2) ML D28
164;Gruppe 1 (PV2) ML D28
165;Gruppe 4 (PV 2) LEE C114
166;Gruppe 4 (PV 2) LEE C114
167;Gruppe 2 (PV 2) HG E41
168;Gruppe 1 (PV2) ML D28
169;Gruppe 2 (PV 2) HG E41
170;Gruppe 4 (PV 2) LEE C114
171;
172;
