id;time;role1;role2;role3;role4;role5;role6;role7;role8;role9
366;dec2016;15;6;3;10;0;11;13;4;8
371;dec2016;14;0;2;10;3;5;8;9;19
169;dec2016;2;5;1;13;7;5;21;6;10
140;dec2016;15;11;9;1;2;8;7;7;10
95;dec2016;9;6;7;10;10;7;3;4;14
165;dec2016;8;4;11;5;3;7;6;8;18
84;dec2016;11;1;5;12;6;9;6;14;6
435;dec2016;11;0;14;11;15;0;2;6;11
66;dec2016;11;11;22;3;3;6;4;5;5
450;dec2016;11;3;14;0;6;5;3;2;26
356;dec2016;15;8;24;0;7;3;3;10;0
389;dec2016;2;6;10;9;9;3;18;2;11
420;dec2016;14;6;3;10;6;8;16;2;5
134;dec2016;11;9;12;7;9;4;11;2;5
315;dec2016;12;7;16;0;10;1;13;8;3
104;dec2016;8;8;18;8;8;5;4;3;8
69;dec2016;6;6;4;11;11;3;18;5;6
