id;grp
1;
2;Gruppe 3 (PV 3) LEE D105
3;
4;
5;
6;Gruppe 1 (PV 3) ML D28
7;Gruppe 1 (PV 3) ML D28
8;Gruppe 1 (PV 3) ML D28
9;
10;
11;Gruppe 1 (PV 3) ML D28
12;
13;Gruppe 4 (PV 3) LEE C114
14;Gruppe 2 (PV 3) HG E41
15;
16;
17;
18;Gruppe 1 (PV 3) ML D28
19;
20;Gruppe 1 (PV 3) ML D28
21;Gruppe 3 (PV 3) LEE D105
22;
23;Gruppe 1 (PV 3) ML D28
24;
25;Gruppe 2 (PV 3) HG E41
26;Gruppe 1 (PV 3) ML D28
27;
28;
29;
30;Gruppe 1 (PV 3) ML D28
31;Gruppe 3 (PV 3) LEE D105
32;
33;
34;Gruppe 4 (PV 3) LEE C114
35;Gruppe 4 (PV 3) LEE C114
36;
37;Gruppe 4 (PV 3) LEE C114
38;
39;Gruppe 1 (PV 3) ML D28
40;
41;
42;Gruppe 2 (PV 3) HG E41
43;
44;
45;Gruppe 2 (PV 3) HG E41
46;
47;
48;Gruppe 1 (PV 3) ML D28
49;Gruppe 1 (PV 3) ML D28
50;
51;Gruppe 6 - AL (PV 3) LEE C104
52;Gruppe 1 (PV 3) ML D28
53;
54;
55;Gruppe 6 - AL (PV 3) LEE C104
56;
57;Gruppe 2 (PV 3) HG E41
58;Gruppe 2 (PV 3) HG E41
59;
60;Gruppe 1 (PV 3) ML D28
61;Gruppe 1 (PV 3) ML D28
62;Gruppe 2 (PV 3) HG E41
63;Gruppe 1 (PV 3) ML D28
64;
65;
66;Gruppe 2 (PV 3) HG E41
67;Gruppe 1 (PV 3) ML D28
68;
69;Gruppe 2 (PV 3) HG E41
70;Gruppe 4 (PV 3) LEE C114
71;
72;
73;
74;Gruppe 1 (PV 3) ML D28
75;
76;Gruppe 6 - AL (PV 3) LEE C104
77;Gruppe 1 (PV 3) ML D28
78;
79;Gruppe 3 (PV 3) LEE D105
80;Gruppe 1 (PV 3) ML D28
81;Gruppe 1 (PV 3) ML D28
82;Gruppe 3 (PV 3) LEE D105
83;Gruppe 1 (PV 3) ML D28
84;Gruppe 1 (PV 3) ML D28
85;
86;Gruppe 6 - AL (PV 3) LEE C104
87;
88;Gruppe 5 (PV 3) LEE D101
89;
90;Gruppe 3 (PV 3) LEE D105
91;Gruppe 3 (PV 3) LEE D105
92;
93;Gruppe 2 (PV 3) HG E41
94;
95;Gruppe 2 (PV 3) HG E41
96;
97;
98;
99;Gruppe 2 (PV 3) HG E41
100;Gruppe 2 (PV 3) HG E41
101;
102;
103;
104;Gruppe 2 (PV 3) HG E41
105;Gruppe 1 (PV 3) ML D28
106;
107;Gruppe 1 (PV 3) ML D28
108;Gruppe 1 (PV 3) ML D28
109;
110;Gruppe 1 (PV 3) ML D28
111;
112;
113;
114;
115;Gruppe 5 (PV 3) LEE D101
116;
117;Gruppe 1 (PV 3) ML D28
118;Gruppe 1 (PV 3) ML D28
119;Gruppe 3 (PV 3) LEE D105
120;Gruppe 1 (PV 3) ML D28
121;
122;Gruppe 1 (PV 3) ML D28
123;
124;
125;Gruppe 1 (PV 3) ML D28
126;
127;
128;
129;Gruppe 1 (PV 3) ML D28
130;
131;
132;Gruppe 6 - AL (PV 3) LEE C104
134;Gruppe 5 (PV 3) LEE D101
135;
136;Gruppe 5 (PV 3) LEE D101
137;
138;Gruppe 1 (PV 3) ML D28
139;
140;Gruppe 3 (PV 3) LEE D105
141;
142;Gruppe 1 (PV 3) ML D28
143;
144;
145;Gruppe 1 (PV 3) ML D28
146;Gruppe 3 (PV 3) LEE D105
147;
148;
149;Gruppe 1 (PV 3) ML D28
150;
151;Gruppe 3 (PV 3) LEE D105
152;
153;Gruppe 3 (PV 3) LEE D105
154;
155;Gruppe 1 (PV 3) ML D28
156;Gruppe 1 (PV 3) ML D28
157;Gruppe 1 (PV 3) ML D28
158;
159;Gruppe 2 (PV 3) HG E41
