id;grp
1;
2;Gruppe 5 (PV 5) LEE D101
3;Guppe 1 (PV 5) ML D28
4;
5;
6;
7;
8;
9;
10;
11;
12;
13;Gruppe 4 (PV 5) LEE C114
14;
15;
16;
17;
18;Guppe 1 (PV 5) ML D28
19;
20;Guppe 1 (PV 5) ML D28
21;Gruppe 2 (PV 5) HG E41
22;
23;Guppe 1 (PV 5) ML D28
24;
25;
26;Guppe 1 (PV 5) ML D28
27;
28;
29;
30;Guppe 1 (PV 5) ML D28
31;Gruppe 3 (PV 5) LEE D105
32;
33;Guppe 1 (PV 5) ML D28
34;
35;Gruppe 4 (PV 5) LEE C114
36;
37;Gruppe 4 (PV 5) LEE C114
38;
39;Guppe 1 (PV 5) ML D28
40;
41;
42;Gruppe 2 (PV 5) HG E41
43;
44;
45;Gruppe 2 (PV 5) HG E41
46;
47;
48;
49;
50;
51;Gruppe 6 - AL (PV 5) LEE C104
52;Guppe 1 (PV 5) ML D28
53;
54;
55;Gruppe 6 - AL (PV 5) LEE C104
56;
57;Gruppe 2 (PV 5) HG E41
58;
59;
60;
61;
62;
63;
64;
65;
66;Guppe 1 (PV 5) ML D28
67;
68;
69;Gruppe 2 (PV 5) HG E41
70;Gruppe 4 (PV 5) LEE C114
71;
72;
73;
74;Guppe 1 (PV 5) ML D28
75;
76;Gruppe 6 - AL (PV 5) LEE C104
77;
78;Guppe 1 (PV 5) ML D28
79;Gruppe 6 - AL (PV 5) LEE C104
80;Gruppe 2 (PV 5) HG E41
81;
82;Gruppe 3 (PV 5) LEE D105
83;
84;Guppe 1 (PV 5) ML D28
85;
86;Guppe 1 (PV 5) ML D28
87;
88;Gruppe 3 (PV 5) LEE D105
89;
90;
91;Gruppe 3 (PV 5) LEE D105
92;
93;Gruppe 2 (PV 5) HG E41
94;
95;Gruppe 2 (PV 5) HG E41
96;
97;
98;
99;Gruppe 3 (PV 5) LEE D105
100;Gruppe 2 (PV 5) HG E41
101;Guppe 1 (PV 5) ML D28
102;Guppe 1 (PV 5) ML D28
103;
104;Gruppe 2 (PV 5) HG E41
105;Guppe 1 (PV 5) ML D28
106;
107;
108;
109;
110;
111;
112;
113;
114;
115;Guppe 1 (PV 5) ML D28
116;
117;
118;Guppe 1 (PV 5) ML D28
119;Guppe 1 (PV 5) ML D28
120;
121;
122;
123;
124;
125;
126;
127;
128;
129;Guppe 1 (PV 5) ML D28
130;
131;
132;Gruppe 6 - AL (PV 5) LEE C104
134;
135;
136;Gruppe 5 (PV 5) LEE D101
137;
138;Guppe 1 (PV 5) ML D28
139;
140;Gruppe 4 (PV 5) LEE C114
141;
142;
143;
144;Gruppe 3 (PV 5) LEE D105
145;Guppe 1 (PV 5) ML D28
146;
147;
148;
149;
150;
151;Gruppe 3 (PV 5) LEE D105
152;
153;
154;
155;Guppe 1 (PV 5) ML D28
156;
157;Guppe 1 (PV 5) ML D28
158;
159;Gruppe 2 (PV 5) HG E41
160;
161;
162;
163;
164;
165;
166;
167;
168;
169;Gruppe 2 (PV 5) HG E41
170;Gruppe 3 (PV 5) LEE D105
171;Guppe 1 (PV 5) ML D28
172;
174;
175;
176;Gruppe 2 (PV 5) HG E41
177;Gruppe 3 (PV 5) LEE D105
