id;grp
174;Gruppe 1 (PV 1) ML D28
175;Gruppe 4 (PV 1) LEE C114
176;Gruppe 2 (PV 1) HG E41
177;Gruppe 1 (PV 1) ML D28
178;
179;Gruppe 6 - Advanced Learners (PV 1) LEE C104
180;Gruppe 2 (PV 1) HG E41
181;Gruppe 1 (PV 1) ML D28
182;Gruppe 1 (PV 1) ML D28
183;Gruppe 3 (PV 1) LEE D105
184;Gruppe 1 (PV 1) ML D28
185;Gruppe 1 (PV 1) ML D28
186;Gruppe 1 (PV 1) ML D28
187;
188;Gruppe 4 (PV 1) LEE C114
189;Gruppe 4 (PV 1) LEE C114
190;Gruppe 3 (PV 1) LEE D105
191;Gruppe 2 (PV 1) HG E41
192;Gruppe 1 (PV 1) ML D28
193;Gruppe 6 - Advanced Learners (PV 1) LEE C104
194;Gruppe 1 (PV 1) ML D28
195;Gruppe 1 (PV 1) ML D28
196;
197;Gruppe 1 (PV 1) ML D28
198;Gruppe 1 (PV 1) ML D28
199;
200;Gruppe 1 (PV 1) ML D28
201;Gruppe 5 (PV 1) LEE D101
202;
203;Gruppe 5 (PV 1) LEE D101
204;
205;Gruppe 1 (PV 1) ML D28
206;
207;Gruppe 2 (PV 1) HG E41
208;Gruppe 4 (PV 1) LEE C114
209;Gruppe 1 (PV 1) ML D28
210;Gruppe 4 (PV 1) LEE C114
211;Gruppe 5 (PV 1) LEE D101
212;
213;
214;Gruppe 1 (PV 1) ML D28
215;Gruppe 2 (PV 1) HG E41
216;Gruppe 1 (PV 1) ML D28
217;Gruppe 1 (PV 1) ML D28
218;Gruppe 5 (PV 1) LEE D101
219;Gruppe 2 (PV 1) HG E41
220;Gruppe 5 (PV 1) LEE D101
221;Gruppe 2 (PV 1) HG E41
222;Gruppe 4 (PV 1) LEE C114
223;
224;Gruppe 5 (PV 1) LEE D101
225;Gruppe 2 (PV 1) HG E41
226;Gruppe 5 (PV 1) LEE D101
227;Gruppe 1 (PV 1) ML D28
228;Gruppe 1 (PV 1) ML D28
229;Gruppe 3 (PV 1) LEE D105
230;Gruppe 1 (PV 1) ML D28
231;Gruppe 1 (PV 1) ML D28
232;Gruppe 1 (PV 1) ML D28
233;Gruppe 5 (PV 1) LEE D101
234;
235;
236;Gruppe 6 - Advanced Learners (PV 1) LEE C104
237;
238;Gruppe 1 (PV 1) ML D28
239;Gruppe 3 (PV 1) LEE D105
240;Gruppe 3 (PV 1) LEE D105
241;Gruppe 5 (PV 1) LEE D101
242;Gruppe 1 (PV 1) ML D28
243;Gruppe 1 (PV 1) ML D28
244;Gruppe 5 (PV 1) LEE D101
245;Gruppe 6 - Advanced Learners (PV 1) LEE C104
246;Gruppe 5 (PV 1) LEE D101
247;Gruppe 1 (PV 1) ML D28
248;Gruppe 2 (PV 1) HG E41
249;
250;Gruppe 3 (PV 1) LEE D105
251;Gruppe 1 (PV 1) ML D28
252;Gruppe 4 (PV 1) LEE C114
253;Gruppe 1 (PV 1) ML D28
254;Gruppe 1 (PV 1) ML D28
255;
256;Gruppe 6 - Advanced Learners (PV 1) LEE C104
257;
258;Gruppe 1 (PV 1) ML D28
259;Gruppe 2 (PV 1) HG E41
260;
261;
262;Gruppe 1 (PV 1) ML D28
263;Gruppe 1 (PV 1) ML D28
264;Gruppe 1 (PV 1) ML D28
265;
266;Gruppe 1 (PV 1) ML D28
267;Gruppe 1 (PV 1) ML D28
268;Gruppe 1 (PV 1) ML D28
269;
270;Gruppe 1 (PV 1) ML D28
271;
272;Gruppe 2 (PV 1) HG E41
273;Gruppe 1 (PV 1) ML D28
274;Gruppe 2 (PV 1) HG E41
275;
276;Gruppe 1 (PV 1) ML D28
277;Gruppe 1 (PV 1) ML D28
278;
279;Gruppe 1 (PV 1) ML D28
280;Gruppe 2 (PV 1) HG E41
281;Gruppe 1 (PV 1) ML D28
282;
283;
284;Gruppe 3 (PV 1) LEE D105
285;Gruppe 2 (PV 1) HG E41
286;Gruppe 3 (PV 1) LEE D105
287;
288;Gruppe 6 - Advanced Learners (PV 1) LEE C104
289;Gruppe 1 (PV 1) ML D28
290;Gruppe 2 (PV 1) HG E41
291;Gruppe 1 (PV 1) ML D28
292;Gruppe 1 (PV 1) ML D28
293;Gruppe 4 (PV 1) LEE C114
294;Gruppe 4 (PV 1) LEE C114
295;Gruppe 5 (PV 1) LEE D101
296;
297;
298;Gruppe 2 (PV 1) HG E41
299;Gruppe 3 (PV 1) LEE D105
300;Gruppe 1 (PV 1) ML D28
301;Gruppe 1 (PV 1) ML D28
302;Gruppe 1 (PV 1) ML D28
303;Gruppe 2 (PV 1) HG E41
304;Gruppe 3 (PV 1) LEE D105
305;Gruppe 6 - Advanced Learners (PV 1) LEE C104
306;Gruppe 4 (PV 1) LEE C114
307;Gruppe 1 (PV 1) ML D28
308;Gruppe 1 (PV 1) ML D28
309;
310;Gruppe 1 (PV 1) ML D28
311;Gruppe 3 (PV 1) LEE D105
312;Gruppe 1 (PV 1) ML D28
313;Gruppe 6 - Advanced Learners (PV 1) LEE C104
314;Gruppe 1 (PV 1) ML D28
315;Gruppe 1 (PV 1) ML D28
316;
317;Gruppe 3 (PV 1) LEE D105
318;Gruppe 1 (PV 1) ML D28
319;Gruppe 4 (PV 1) LEE C114
320;Gruppe 1 (PV 1) ML D28
321;Gruppe 3 (PV 1) LEE D105
322;Gruppe 1 (PV 1) ML D28
323;Gruppe 2 (PV 1) HG E41
324;Gruppe 1 (PV 1) ML D28
325;Gruppe 3 (PV 1) LEE D105
326;Gruppe 1 (PV 1) ML D28
327;Gruppe 4 (PV 1) LEE C114
328;Gruppe 4 (PV 1) LEE C114
329;Gruppe 1 (PV 1) ML D28
330;Gruppe 6 - Advanced Learners (PV 1) LEE C104
331;Gruppe 2 (PV 1) HG E41
332;Gruppe 4 (PV 1) LEE C114
333;
334;Gruppe 1 (PV 1) ML D28
335;
336;Gruppe 1 (PV 1) ML D28
337;Gruppe 1 (PV 1) ML D28
338;Gruppe 2 (PV 1) HG E41
339;Gruppe 4 (PV 1) LEE C114
340;Gruppe 4 (PV 1) LEE C114
341;Gruppe 1 (PV 1) ML D28
342;Gruppe 1 (PV 1) ML D28
343;Gruppe 2 (PV 1) HG E41
344;
345;Gruppe 1 (PV 1) ML D28
346;Gruppe 2 (PV 1) HG E41
347;Gruppe 4 (PV 1) LEE C114
348;Gruppe 1 (PV 1) ML D28
349;Gruppe 1 (PV 1) ML D28
350;Gruppe 6 - Advanced Learners (PV 1) LEE C104
351;
352;
353;Gruppe 4 (PV 1) LEE C114
354;Gruppe 2 (PV 1) HG E41
355;Gruppe 1 (PV 1) ML D28
356;Gruppe 1 (PV 1) ML D28
357;Gruppe 1 (PV 1) ML D28
358;
359;Gruppe 1 (PV 1) ML D28
360;Gruppe 1 (PV 1) ML D28
361;Gruppe 1 (PV 1) ML D28
362;Gruppe 1 (PV 1) ML D28
363;Gruppe 3 (PV 1) LEE D105
364;
365;Gruppe 6 - Advanced Learners (PV 1) LEE C104
366;Gruppe 1 (PV 1) ML D28
367;Gruppe 6 - Advanced Learners (PV 1) LEE C104
368;Gruppe 5 (PV 1) LEE D101
369;Gruppe 3 (PV 1) LEE D105
370;Gruppe 4 (PV 1) LEE C114
371;Gruppe 1 (PV 1) ML D28
372;Gruppe 2 (PV 1) HG E41
373;
374;Gruppe 5 (PV 1) LEE D101
375;Gruppe 4 (PV 1) LEE C114
376;
377;Gruppe 3 (PV 1) LEE D105
378;Gruppe 1 (PV 1) ML D28
379;Gruppe 1 (PV 1) ML D28
380;Gruppe 1 (PV 1) ML D28
381;Gruppe 2 (PV 1) HG E41
382;Gruppe 1 (PV 1) ML D28
383;
384;Gruppe 6 - Advanced Learners (PV 1) LEE C104
385;Gruppe 5 (PV 1) LEE D101
386;Gruppe 5 (PV 1) LEE D101
387;
388;Gruppe 1 (PV 1) ML D28
389;Gruppe 1 (PV 1) ML D28
390;Gruppe 2 (PV 1) HG E41
391;
392;Gruppe 1 (PV 1) ML D28
393;
394;Gruppe 6 - Advanced Learners (PV 1) LEE C104
395;Gruppe 1 (PV 1) ML D28
396;
397;Gruppe 1 (PV 1) ML D28
398;Gruppe 1 (PV 1) ML D28
399;Gruppe 4 (PV 1) LEE C114
400;Gruppe 3 (PV 1) LEE D105
401;Gruppe 1 (PV 1) ML D28
402;Gruppe 3 (PV 1) LEE D105
403;Gruppe 4 (PV 1) LEE C114
404;Gruppe 1 (PV 1) ML D28
405;Gruppe 1 (PV 1) ML D28
406;Gruppe 1 (PV 1) ML D28
407;Gruppe 1 (PV 1) ML D28
408;Gruppe 1 (PV 1) ML D28
409;
410;
411;
412;
413;Gruppe 6 - Advanced Learners (PV 1) LEE C104
414;Gruppe 1 (PV 1) ML D28
415;Gruppe 3 (PV 1) LEE D105
417;Gruppe 1 (PV 1) ML D28
418;Gruppe 2 (PV 1) HG E41
419;Gruppe 1 (PV 1) ML D28
420;Gruppe 1 (PV 1) ML D28
421;Gruppe 3 (PV 1) LEE D105
422;Gruppe 5 (PV 1) LEE D101
423;
424;Gruppe 4 (PV 1) LEE C114
425;
426;Gruppe 1 (PV 1) ML D28
427;
428;Gruppe 2 (PV 1) HG E41
429;Gruppe 2 (PV 1) HG E41
430;Gruppe 1 (PV 1) ML D28
431;Gruppe 5 (PV 1) LEE D101
432;Gruppe 2 (PV 1) HG E41
433;Gruppe 2 (PV 1) HG E41
434;Gruppe 1 (PV 1) ML D28
435;Gruppe 3 (PV 1) LEE D105
436;Gruppe 2 (PV 1) HG E41
437;Gruppe 1 (PV 1) ML D28
438;Gruppe 1 (PV 1) ML D28
439;Gruppe 4 (PV 1) LEE C114
440;Gruppe 5 (PV 1) LEE D101
441;
442;
443;Gruppe 1 (PV 1) ML D28
444;
445;Gruppe 5 (PV 1) LEE D101
446;Gruppe 3 (PV 1) LEE D105
447;Gruppe 1 (PV 1) ML D28
448;Gruppe 1 (PV 1) ML D28
449;Gruppe 1 (PV 1) ML D28
450;Gruppe 4 (PV 1) LEE C114
451;Gruppe 5 (PV 1) LEE D101
452;Gruppe 6 - Advanced Learners (PV 1) LEE C104
453;Gruppe 4 (PV 1) LEE C114
454;Gruppe 3 (PV 1) LEE D105
455;Gruppe 3 (PV 1) LEE D105
456;Gruppe 1 (PV 1) ML D28
457;Gruppe 1 (PV 1) ML D28
458;
459;Gruppe 5 (PV 1) LEE D101
460;Gruppe 1 (PV 1) ML D28
461;Gruppe 3 (PV 1) LEE D105
462;Gruppe 5 (PV 1) LEE D101
463;
464;Gruppe 5 (PV 1) LEE D101
465;Gruppe 2 (PV 1) HG E41
466;
467;
468;Gruppe 1 (PV 1) ML D28
469;Gruppe 1 (PV 1) ML D28
470;Gruppe 1 (PV 1) ML D28
471;Gruppe 2 (PV 1) HG E41
472;
473;Gruppe 6 - Advanced Learners (PV 1) LEE C104
474;Gruppe 2 (PV 1) HG E41
475;
476;Gruppe 6 - Advanced Learners (PV 1) LEE C104
477;Gruppe 1 (PV 1) ML D28
478;Gruppe 4 (PV 1) LEE C114
479;Gruppe 1 (PV 1) ML D28
480;Gruppe 1 (PV 1) ML D28
481;
482;
483;
484;Gruppe 4 (PV 1) LEE C114
485;Gruppe 1 (PV 1) ML D28
486;
487;
488;Gruppe 6 - Advanced Learners (PV 1) LEE C104
489;Gruppe 4 (PV 1) LEE C114
490;Gruppe 5 (PV 1) LEE D101
491;Gruppe 2 (PV 1) HG E41
492;Gruppe 5 (PV 1) LEE D101
493;Gruppe 1 (PV 1) ML D28
494;Gruppe 1 (PV 1) ML D28
495;Gruppe 3 (PV 1) LEE D105
496;Gruppe 1 (PV 1) ML D28
497;
498;Gruppe 1 (PV 1) ML D28
499;Gruppe 1 (PV 1) ML D28
500;Gruppe 1 (PV 1) ML D28
501;
502;Gruppe 1 (PV 1) ML D28
503;
504;
#NV;
#NV;
